Data_Hora,IdTweet,Tweet,Candidato,tweet_limpo
2022-07-30 22:05:55+00:00,1553502172284846087,"@BlogdoNoblat @BlogdoNoblat se o Loola está anos luz com 171% no DataFolha , pra que falar de  Bolsonaro ? Foca na comemoração! Esqueça o 2o colocado DataFolha .",Bolsonaro,"  se o loola está anos luz com 171% no datafolha , pra que falar de  bolsonaro ? foca na comemoração! esqueça o 2o colocado datafolha ."
2022-07-30 22:05:55+00:00,1553502171848757248,"@danubiotavares @lia_liaa22 @jairbolsonaro Não é não cara. É verdade...
Uma pequena amostra.
Mas uma grande realidade.
Será que dá para você ter uma idéia do que é viver sem água? 😬 https://t.co/qjqOHDtDki",Bolsonaro,   não é não cara. é verdade...uma pequena amostra.mas uma grande realidade.será que dá para você ter uma idéia do que é viver sem água? 😬 
2022-07-30 22:05:54+00:00,1553502171244773382,"@rodrigogarcia_ SP é Tarcísio! Chega de eleger opositores ao governo federal. Só anda pra frente, se andar junto com Bolsonaro!",Bolsonaro," sp é tarcísio! chega de eleger opositores ao governo federal. só anda pra frente, se andar junto com bolsonaro!"
2022-07-30 22:05:54+00:00,1553502168761655296,"Bolsonaro se emociona com Hino cantado por menino vestido como policial e presta continência, VEJA VÍDEO - Terra Brasil Notícias

🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/N1ZUFmbWsd",Bolsonaro,"bolsonaro se emociona com hino cantado por menino vestido como policial e presta continência, veja vídeo - terra brasil notícias🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 "
2022-07-30 22:05:54+00:00,1553502168522657795,@AmorimConfucio @juanedeide @jairbolsonaro https://t.co/NZ1pw1OfhD,Bolsonaro,   
2022-07-30 22:05:54+00:00,1553502167931273219,"#Bolsonaro2022noPrimeiroTurno
#BolsonaroNoPrimeiroTurno 

Urgente - TSE já fala em impedir Bolsonaro de ser candidato https://t.co/139J3HVcHn via @YouTube",Bolsonaro, urgente - tse já fala em impedir bolsonaro de ser candidato  via 
2022-07-30 22:05:53+00:00,1553502164462493697,"@BornToRebellion @ConselhosConse1 @Gaby_8489 @rafaelmeneses93 @jairbolsonaro Legal esse vídeo, mas o presidente é o Jair Bolsonaro, não o Flávio, cadê as provas contra o Jair?",Bolsonaro,"     legal esse vídeo, mas o presidente é o jair bolsonaro, não o flávio, cadê as provas contra o jair?"
2022-07-30 22:05:52+00:00,1553502162705174529,"@dobylucky @AndreJanonesAdv Quantas dessas narrativas (da uma pesquisada pra ver o que significa) resultaram em inquérito onde Bolsonaro responde como réu? Não vale responder com meme, tá? 🤯",Bolsonaro,"  quantas dessas narrativas (da uma pesquisada pra ver o que significa) resultaram em inquérito onde bolsonaro responde como réu? não vale responder com meme, tá? 🤯"
2022-07-30 22:05:52+00:00,1553502159618146306,"@mariajulyah Menina não sei explicar KKKMKK
Mas tava olhando nos trends hoje e tavam comparando o Bolsonaro com the office",Bolsonaro, menina não sei explicar kkkmkkmas tava olhando nos trends hoje e tavam comparando o bolsonaro com the office
2022-07-30 22:05:52+00:00,1553502159207006209,"""É Bolsonaro"" #CapitaoNoPrimeiroTurno https://t.co/Zf9z33IeeS",Bolsonaro,"""é bolsonaro""  "
2022-07-30 22:05:51+00:00,1553502158414401536,"@reinaldoazevedo Que moral alguém q defende as alianças do pt tem para criticar qqr outra, inclusive do Bolsonaro... Por isso eu digo...

Bolsopetismo existe...",Bolsonaro," que moral alguém q defende as alianças do pt tem para criticar qqr outra, inclusive do bolsonaro... por isso eu digo...bolsopetismo existe..."
2022-07-30 22:05:50+00:00,1553502153997750272,@cirogomes As mesmas palavras de Bolsonaro,Bolsonaro, as mesmas palavras de bolsonaro
2022-07-30 22:05:50+00:00,1553502153406291969,"@SrBoneco1 @FatimaF46328259 @Delinho17333581 @GuedeFigueredo @GuerreiraJVGS @EdneiaScanto @Pedro19710407 @ma_65zaff @MonteiroDjair @taniaduarte48 @jurasotero @MeireFarias9 @BolsonaroSoul @RachelAndo7 @ManesAlexandre @LaFenix61 @ellen2924 @AmadoCarrilho Datapovo coloca @jairbolsonaro reeleito no primeiro turno 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
🇧🇷🇧🇷🇧🇷2️⃣2️⃣🇧🇷🇧🇷🇧🇷",Bolsonaro,                  datapovo coloca  reeleito no primeiro turno 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🇧🇷🇧🇷🇧🇷2️⃣2️⃣🇧🇷🇧🇷🇧🇷
